movie,location,lat,long,size,markerImage
Sleeping Beauty,"Neuschwanstein Castle, Bavaria, Germany",47.5576,10.7498,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-341.jpg
Moana,Samoa Island,18.1531,-68.6797,10,https://www.tripsavvy.com/thmb/QzwAqsm38rNZkzaeRLeQoOIcUEA=/5150x2897/smart/filters:no_upscale()/national-park-of-american-samoa--tutuila-island--american-samoa--south-pacific--pacific-167450898-597a74e803f40200108aab77.jpg
Beauty and the Beast (Village),"Towns of Alsace, Alsace, France",48.3182,7.4416,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-171.jpg
Beauty and the Beast (Castle),"Chateau De Chambord, Loir-Et-Cher, France",47.6161,1.5172,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-38.jpg
Tangled,"Mont Saint-Michel, Normandy, France",48.6361,-1.5115,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-101.jpg
Cars,"Tucumcari, New Mexico, USA",35.1717,-103.725,10,https://media-cdn.tripadvisor.com/media/photo-s/01/5b/33/0a/this-picture-i-had-taken.jpg
Cars (Ramone's),"U-Drop Inn, Shamrock, Texas",35.2267,-100.2487,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-41.jpg
The Little Mermaid,"Chateau De Chillon, Lake Geneva, Switzerland",46.4142,6.9275,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-211.jpg
Up,"Angel Fall, Venezuela",5.9701,-62.5362,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-34.jpg
Snow White and the Seven Dwarfs,"Alcázar of Segovia, Segovia, Spain",40.9526,-4.1325,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-242.jpg
Aladdin,"Taj Mahal, Agra, India",27.1751,78.0421,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-110.jpg
Brave,"Eilean Donan Castle, Scotland, UK",57.2667,-5.5167,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-191.jpg
The Emperor's New Groove,"Machu Picchu, Cusco, Peru",-13.1631,-72.545,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-201.jpg
Mulan,"Forbidden City, Beijing, China",39.9169,116.3907,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-131.jpg
The Hunchback of Notre Dame,"Notre Dame Cathedral, Paris, France",48.853,2.3499,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-281.jpg
Wreck-It Ralph,"Grand Central Terminal, New York City, USA",40.7527,-73.9772,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-231.jpg
Frozen,"St. Olaf's Church, Balestrand, Norway",61.2076,6.5343,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-61.jpg
Frozen,"Hotel De Glace, Quebec City, Canada",46.9429,-71.4742,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-181.jpg
The Princess and the Frog,"Louisiana bayous, USA",29.7874,-90.4131,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-51.jpg
Atlantis: The Lost Empire,"Angkor Wat, Angkor, Cambodia",13.4125,103.867,10,https://static.boredpanda.com/blog/wp-content/uploads/2015/11/disney-locations-real-life-inspirations-311.jpg
Pinocchio,"Collodi Village, Tuscany, Italy",43.8998,10.6517,10,"https://cdn1.discovertuscany.com/img/collodi/villa-garzoni.jpg?auto=compress,enhance,format&w=480&q=40"
Finding Nemo,"Sydney Harbour, Australia",-33.8568,151.2153,10,https://media.tacdn.com/media/attractions-splice-spp-674x446/06/fb/c1/51.jpg
Lilo and Stitch,"Kauai, Hawaii, USA",22.0964,-159.5261,10,https://cdn1.matadornetwork.com/blogs/1/2018/08/Kauai-lead-1200x781.jpg
Ratatouille,"The French Laundry, Yountville, California",38.4044,-122.365,10,https://upload.wikimedia.org/wikipedia/commons/0/06/The_French_Laundry.jpg