movie,movieMarker,location,lat,long,size,markerImage
Iron Man,Stark Industries,"Masimo HQ, Irvine, California",33.6846,-117.8265,1,
The incredible Hulk,Culver University,"University of Toronto, Toronto",43.6629,-79.3957,2,
Iron Man 2,Randy's Donuts,"Inglewood, California, USA",33.9617,-118.3531,3,
Thor: Dark World,Old Royal Naval College,"Thames, Greenwich, London, UK",51.4934,0.0098,4,
Guardians of the Galaxy,Xandar Plaza,"Liège-Guillemins Railway Station, Liège, Belgium",50.6244,5.5667,5,
Avengers: Age of Ultron,HYDRA Research Base,"Forte di Bard, Bard, Aosta Valley, Italy",45.6084,7.7448,6,
Ant-Man,Milgrom Hotel,"Riviera Hotel, San Fransicso, California, USA",37.7852,-122.4127,7,
Spider-Man: Homecoming,Midtown High School,"Franklin K. Lane High School, Brooklyn, New York, USA",40.6929,-73.869,8,
Thor: Ragnarok,Forests of Asgard,"Tamborine National Park and Cedar Creek Falls, South East Queensland, Australia",-20.9176,142.7028,9,
Black Panther,Warrior Falls,"Iguazu Falls, South America",-25.6953,-54.4367,10,